id_batiment,type_batiment,nb_maisons,type_batiment_norm,cat_score,occ_rate,is_uninhabited
E000349,habitation,1,habitation,1.0,1.0,0
E000350,habitation,1,habitation,1.0,1.0,0
E000351,habitation,1,habitation,1.0,1.0,0
E000352,habitation,1,habitation,1.0,1.0,0
E000353,habitation,1,habitation,1.0,1.0,0
E000354,habitation,1,habitation,1.0,1.0,0
E000355,habitation,1,habitation,1.0,1.0,0
E000356,habitation,1,habitation,1.0,1.0,0
E000357,habitation,1,habitation,1.0,1.0,0
E000358,habitation,1,habitation,1.0,1.0,0
E000359,habitation,1,habitation,1.0,1.0,0
E000360,habitation,1,habitation,1.0,1.0,0
E000361,habitation,1,habitation,1.0,1.0,0
E000362,habitation,1,habitation,1.0,1.0,0
E000363,habitation,1,habitation,1.0,1.0,0
E000364,habitation,1,habitation,1.0,1.0,0
E000365,habitation,1,habitation,1.0,1.0,0
E000366,habitation,1,habitation,1.0,1.0,0
E000367,habitation,1,habitation,1.0,1.0,0
E000368,habitation,1,habitation,1.0,1.0,0
E000369,habitation,1,habitation,1.0,1.0,0
E000370,habitation,1,habitation,1.0,1.0,0
E000371,habitation,1,habitation,1.0,1.0,0
E000372,habitation,1,habitation,1.0,1.0,0
E000373,habitation,1,habitation,1.0,1.0,0
E000374,habitation,1,habitation,1.0,1.0,0
E000375,habitation,1,habitation,1.0,1.0,0
E000376,habitation,1,habitation,1.0,1.0,0
E000377,habitation,1,habitation,1.0,1.0,0
E000378,habitation,1,habitation,1.0,1.0,0
E000379,habitation,1,habitation,1.0,1.0,0
E000380,habitation,1,habitation,1.0,1.0,0
E000381,habitation,1,habitation,1.0,1.0,0
