id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons
E000023,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000023,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000023,1,P007982,infra_intacte,49.956115228201,fourreau,2,habitation,infra_intacte,1
E000023,1,P000241,infra_intacte,75.9819951693543,fourreau,2,habitation,infra_intacte,1
E000023,1,P000298,infra_intacte,17.8683661881297,aerien,2,habitation,infra_intacte,1
E000023,1,P007122,infra_intacte,10.5829298832587,fourreau,2,habitation,infra_intacte,1
E000024,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000024,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000024,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000024,1,P007982,infra_intacte,49.956115228201,fourreau,7,habitation,infra_intacte,1
E000024,1,P000241,infra_intacte,75.9819951693543,fourreau,7,habitation,infra_intacte,1
E000024,1,P000298,infra_intacte,17.8683661881297,aerien,7,habitation,infra_intacte,1
E000024,1,P007368,infra_intacte,12.3590774620561,aerien,7,habitation,infra_intacte,1
E000025,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000025,1,P007982,infra_intacte,49.956115228201,fourreau,7,habitation,infra_intacte,1
E000025,1,P000181,infra_intacte,6.18934271279126,aerien,7,habitation,infra_intacte,1
E000025,1,P000394,infra_intacte,37.5183055134459,fourreau,7,habitation,infra_intacte,1
E000025,1,P000395,infra_intacte,61.6365018431784,fourreau,7,habitation,infra_intacte,1
E000025,1,P000381,infra_intacte,55.0605613618661,aerien,7,habitation,infra_intacte,1
E000025,1,P007251,infra_intacte,7.71576907713709,aerien,7,habitation,infra_intacte,1
E000026,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000026,1,P007982,infra_intacte,49.956115228201,fourreau,1,habitation,infra_intacte,1
E000026,1,P000181,infra_intacte,6.18934271279126,aerien,1,habitation,infra_intacte,1
E000026,1,P000394,infra_intacte,37.5183055134459,fourreau,1,habitation,infra_intacte,1
E000026,1,P000395,infra_intacte,61.6365018431784,fourreau,1,habitation,infra_intacte,1
E000026,1,P000381,infra_intacte,55.0605613618661,aerien,1,habitation,infra_intacte,1
E000026,1,P007243,infra_intacte,10.8332248506963,aerien,1,habitation,infra_intacte,1
E000027,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000027,1,P007982,infra_intacte,49.956115228201,fourreau,5,habitation,infra_intacte,1
E000027,1,P000181,infra_intacte,6.18934271279126,aerien,5,habitation,infra_intacte,1
E000027,1,P000394,infra_intacte,37.5183055134459,fourreau,5,habitation,infra_intacte,1
E000027,1,P000395,infra_intacte,61.6365018431784,fourreau,5,habitation,infra_intacte,1
E000027,1,P000381,infra_intacte,55.0605613618661,aerien,5,habitation,infra_intacte,1
E000027,1,P007146,infra_intacte,14.1328129079196,aerien,5,habitation,infra_intacte,1
E000028,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000028,1,P007982,infra_intacte,49.956115228201,fourreau,6,habitation,infra_intacte,1
E000028,1,P000181,infra_intacte,6.18934271279126,aerien,6,habitation,infra_intacte,1
E000028,1,P000394,infra_intacte,37.5183055134459,fourreau,6,habitation,infra_intacte,1
E000028,1,P000395,infra_intacte,61.6365018431784,fourreau,6,habitation,infra_intacte,1
E000028,1,P000381,infra_intacte,55.0605613618661,aerien,6,habitation,infra_intacte,1
E000028,1,P007338,infra_intacte,17.7187304348002,aerien,6,habitation,infra_intacte,1
E000029,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000029,1,P007982,infra_intacte,49.956115228201,fourreau,5,habitation,infra_intacte,1
E000029,1,P000181,infra_intacte,6.18934271279126,aerien,5,habitation,infra_intacte,1
E000029,1,P000394,infra_intacte,37.5183055134459,fourreau,5,habitation,infra_intacte,1
E000029,1,P000395,infra_intacte,61.6365018431784,fourreau,5,habitation,infra_intacte,1
E000029,1,P000334,infra_intacte,9.01673275932094,aerien,5,habitation,infra_intacte,1
E000029,1,P007328,infra_intacte,13.580887613469,aerien,5,habitation,infra_intacte,1
E000030,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000030,1,P007982,infra_intacte,49.956115228201,fourreau,3,habitation,infra_intacte,1
E000030,1,P000181,infra_intacte,6.18934271279126,aerien,3,habitation,infra_intacte,1
E000030,1,P000394,infra_intacte,37.5183055134459,fourreau,3,habitation,infra_intacte,1
E000030,1,P000395,infra_intacte,61.6365018431784,fourreau,3,habitation,infra_intacte,1
E000030,1,P000334,infra_intacte,9.01673275932094,aerien,3,habitation,infra_intacte,1
E000030,1,P007244,infra_intacte,13.8202543784816,semi-aerien,3,habitation,infra_intacte,1
E000031,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000031,1,P007982,infra_intacte,49.956115228201,fourreau,3,habitation,infra_intacte,1
E000031,1,P000181,infra_intacte,6.18934271279126,aerien,3,habitation,infra_intacte,1
E000031,1,P000394,infra_intacte,37.5183055134459,fourreau,3,habitation,infra_intacte,1
E000031,1,P000395,infra_intacte,61.6365018431784,fourreau,3,habitation,infra_intacte,1
E000031,1,P000334,infra_intacte,9.01673275932094,aerien,3,habitation,infra_intacte,1
E000031,1,P007133,infra_intacte,15.2467571493073,aerien,3,habitation,infra_intacte,1
E000032,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000032,1,P007982,infra_intacte,49.956115228201,fourreau,1,habitation,infra_intacte,1
E000032,1,P000181,infra_intacte,6.18934271279126,aerien,1,habitation,infra_intacte,1
E000032,1,P000394,infra_intacte,37.5183055134459,fourreau,1,habitation,infra_intacte,1
E000032,1,P000395,infra_intacte,61.6365018431784,fourreau,1,habitation,infra_intacte,1
E000032,1,P000334,infra_intacte,9.01673275932094,aerien,1,habitation,infra_intacte,1
E000032,1,P007152,infra_intacte,17.3707128102982,fourreau,1,habitation,infra_intacte,1
E000033,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000033,1,P007982,infra_intacte,49.956115228201,fourreau,5,habitation,infra_intacte,1
E000033,1,P000181,infra_intacte,6.18934271279126,aerien,5,habitation,infra_intacte,1
E000033,1,P000394,infra_intacte,37.5183055134459,fourreau,5,habitation,infra_intacte,1
E000033,1,P000395,infra_intacte,61.6365018431784,fourreau,5,habitation,infra_intacte,1
E000033,1,P000334,infra_intacte,9.01673275932094,aerien,5,habitation,infra_intacte,1
E000033,1,P007227,infra_intacte,19.3633643271163,semi-aerien,5,habitation,infra_intacte,1
E000034,1,P007111,infra_intacte,12.3144613356693,fourreau,4,habitation,infra_intacte,1
E000034,1,P007982,infra_intacte,49.956115228201,fourreau,4,habitation,infra_intacte,1
E000034,1,P000181,infra_intacte,6.18934271279126,aerien,4,habitation,infra_intacte,1
E000034,1,P000394,infra_intacte,37.5183055134459,fourreau,4,habitation,infra_intacte,1
E000034,1,P000395,infra_intacte,61.6365018431784,fourreau,4,habitation,infra_intacte,1
E000034,1,P000052,infra_intacte,12.8565075983714,aerien,4,habitation,infra_intacte,1
E000034,1,P007177,infra_intacte,2.34927288108204,aerien,4,habitation,infra_intacte,1
E000035,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000035,1,P007982,infra_intacte,49.956115228201,fourreau,1,habitation,infra_intacte,1
E000035,1,P000181,infra_intacte,6.18934271279126,aerien,1,habitation,infra_intacte,1
E000035,1,P000394,infra_intacte,37.5183055134459,fourreau,1,habitation,infra_intacte,1
E000035,1,P000395,infra_intacte,61.6365018431784,fourreau,1,habitation,infra_intacte,1
E000035,1,P000052,infra_intacte,12.8565075983714,aerien,1,habitation,infra_intacte,1
E000035,1,P007354,infra_intacte,10.1307302770864,aerien,1,habitation,infra_intacte,1
E000036,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000036,1,P007983,infra_intacte,40.3209288665353,aerien,1,habitation,infra_intacte,1
E000036,1,P000160,infra_intacte,44.6252544771484,semi-aerien,1,habitation,infra_intacte,1
E000036,1,P000348,infra_intacte,9.12960147203556,aerien,1,habitation,infra_intacte,1
E000036,1,P000020,infra_intacte,51.3121054948589,aerien,1,habitation,infra_intacte,1
E000036,1,P000148,infra_intacte,34.0746754515243,aerien,1,habitation,infra_intacte,1
E000036,1,P007402,infra_intacte,8.64060281351536,fourreau,1,habitation,infra_intacte,1
E000037,1,P007111,infra_intacte,12.3144613356693,fourreau,4,habitation,infra_intacte,1
E000037,1,P007983,infra_intacte,40.3209288665353,aerien,4,habitation,infra_intacte,1
E000037,1,P000160,infra_intacte,44.6252544771484,semi-aerien,4,habitation,infra_intacte,1
E000037,1,P000348,infra_intacte,9.12960147203556,aerien,4,habitation,infra_intacte,1
E000037,1,P000020,infra_intacte,51.3121054948589,aerien,4,habitation,infra_intacte,1
E000037,1,P000148,infra_intacte,34.0746754515243,aerien,4,habitation,infra_intacte,1
E000037,1,P007395,infra_intacte,11.1110240485116,aerien,4,habitation,infra_intacte,1
E000038,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000038,1,P007983,infra_intacte,40.3209288665353,aerien,6,habitation,infra_intacte,1
E000038,1,P000160,infra_intacte,44.6252544771484,semi-aerien,6,habitation,infra_intacte,1
E000038,1,P000348,infra_intacte,9.12960147203556,aerien,6,habitation,infra_intacte,1
E000038,1,P000020,infra_intacte,51.3121054948589,aerien,6,habitation,infra_intacte,1
E000038,1,P000148,infra_intacte,34.0746754515243,aerien,6,habitation,infra_intacte,1
E000038,1,P007347,infra_intacte,17.3680174427927,aerien,6,habitation,infra_intacte,1
E000039,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000039,1,P007983,infra_intacte,40.3209288665353,aerien,2,habitation,infra_intacte,1
E000039,1,P000160,infra_intacte,44.6252544771484,semi-aerien,2,habitation,infra_intacte,1
E000039,1,P000348,infra_intacte,9.12960147203556,aerien,2,habitation,infra_intacte,1
E000039,1,P000020,infra_intacte,51.3121054948589,aerien,2,habitation,infra_intacte,1
E000039,1,P000015,infra_intacte,7.95699200194991,fourreau,2,habitation,infra_intacte,1
E000039,1,P007193,infra_intacte,8.20660981592346,aerien,2,habitation,infra_intacte,1
E000040,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000040,1,P007983,infra_intacte,40.3209288665353,aerien,2,habitation,infra_intacte,1
E000040,1,P000308,infra_intacte,39.1407985664577,fourreau,2,habitation,infra_intacte,1
E000040,1,P000308,infra_intacte,39.1407985664577,fourreau,2,habitation,infra_intacte,1
E000040,1,P000160,infra_intacte,44.6252544771484,semi-aerien,2,habitation,infra_intacte,1
E000040,1,P000187,infra_intacte,15.0067646658694,fourreau,2,habitation,infra_intacte,1
E000040,1,P007239,infra_intacte,6.99283985604053,fourreau,2,habitation,infra_intacte,1
E000041,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000041,1,P007983,infra_intacte,40.3209288665353,aerien,2,habitation,infra_intacte,1
E000041,1,P000308,infra_intacte,39.1407985664577,fourreau,2,habitation,infra_intacte,1
E000041,1,P000308,infra_intacte,39.1407985664577,fourreau,2,habitation,infra_intacte,1
E000041,1,P000160,infra_intacte,44.6252544771484,semi-aerien,2,habitation,infra_intacte,1
E000041,1,P000187,infra_intacte,15.0067646658694,fourreau,2,habitation,infra_intacte,1
E000041,1,P007226,infra_intacte,14.9386818000782,aerien,2,habitation,infra_intacte,1
E000042,1,P007111,infra_intacte,12.3144613356693,fourreau,4,habitation,infra_intacte,1
E000042,1,P007983,infra_intacte,40.3209288665353,aerien,4,habitation,infra_intacte,1
E000042,1,P000308,infra_intacte,39.1407985664577,fourreau,4,habitation,infra_intacte,1
E000042,1,P000308,infra_intacte,39.1407985664577,fourreau,4,habitation,infra_intacte,1
E000042,1,P000160,infra_intacte,44.6252544771484,semi-aerien,4,habitation,infra_intacte,1
E000042,1,P000347,infra_intacte,47.6908735474847,aerien,4,habitation,infra_intacte,1
E000042,1,P007259,infra_intacte,7.22642714229678,aerien,4,habitation,infra_intacte,1
E000043,1,P007111,infra_intacte,12.3144613356693,fourreau,8,habitation,infra_intacte,1
E000043,1,P007983,infra_intacte,40.3209288665353,aerien,8,habitation,infra_intacte,1
E000043,1,P000308,infra_intacte,39.1407985664577,fourreau,8,habitation,infra_intacte,1
E000043,1,P000308,infra_intacte,39.1407985664577,fourreau,8,habitation,infra_intacte,1
E000043,1,P000160,infra_intacte,44.6252544771484,semi-aerien,8,habitation,infra_intacte,1
E000043,1,P000347,infra_intacte,47.6908735474847,aerien,8,habitation,infra_intacte,1
E000043,1,P007135,infra_intacte,8.29321324734341,aerien,8,habitation,infra_intacte,1
E000044,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000044,1,P007983,infra_intacte,40.3209288665353,aerien,6,habitation,infra_intacte,1
E000044,1,P000308,infra_intacte,39.1407985664577,fourreau,6,habitation,infra_intacte,1
E000044,1,P000308,infra_intacte,39.1407985664577,fourreau,6,habitation,infra_intacte,1
E000044,1,P000160,infra_intacte,44.6252544771484,semi-aerien,6,habitation,infra_intacte,1
E000044,1,P000347,infra_intacte,47.6908735474847,aerien,6,habitation,infra_intacte,1
E000044,1,P007378,infra_intacte,11.5278268624067,fourreau,6,habitation,infra_intacte,1
E000045,1,P007111,infra_intacte,12.3144613356693,fourreau,8,habitation,infra_intacte,1
E000045,1,P007982,infra_intacte,49.956115228201,fourreau,8,habitation,infra_intacte,1
E000045,1,P000181,infra_intacte,6.18934271279126,aerien,8,habitation,infra_intacte,1
E000045,1,P000394,infra_intacte,37.5183055134459,fourreau,8,habitation,infra_intacte,1
E000045,1,P000395,infra_intacte,61.6365018431784,fourreau,8,habitation,infra_intacte,1
E000045,1,P000334,infra_intacte,9.01673275932094,aerien,8,habitation,infra_intacte,1
E000045,1,P000256,infra_intacte,29.4336698447574,aerien,8,habitation,infra_intacte,1
E000045,1,P007287,infra_intacte,6.26783452067774,semi-aerien,8,habitation,infra_intacte,1
E000046,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000046,1,P007982,infra_intacte,49.956115228201,fourreau,1,habitation,infra_intacte,1
E000046,1,P000181,infra_intacte,6.18934271279126,aerien,1,habitation,infra_intacte,1
E000046,1,P000394,infra_intacte,37.5183055134459,fourreau,1,habitation,infra_intacte,1
E000046,1,P000395,infra_intacte,61.6365018431784,fourreau,1,habitation,infra_intacte,1
E000046,1,P000334,infra_intacte,9.01673275932094,aerien,1,habitation,infra_intacte,1
E000046,1,P000256,infra_intacte,29.4336698447574,aerien,1,habitation,infra_intacte,1
E000046,1,P007387,infra_intacte,13.1723164317785,aerien,1,habitation,infra_intacte,1
E000047,1,P007111,infra_intacte,12.3144613356693,fourreau,4,habitation,infra_intacte,1
E000047,1,P007982,infra_intacte,49.956115228201,fourreau,4,habitation,infra_intacte,1
E000047,1,P000181,infra_intacte,6.18934271279126,aerien,4,habitation,infra_intacte,1
E000047,1,P000394,infra_intacte,37.5183055134459,fourreau,4,habitation,infra_intacte,1
E000047,1,P000395,infra_intacte,61.6365018431784,fourreau,4,habitation,infra_intacte,1
E000047,1,P000334,infra_intacte,9.01673275932094,aerien,4,habitation,infra_intacte,1
E000047,1,P000256,infra_intacte,29.4336698447574,aerien,4,habitation,infra_intacte,1
