id_batiment,is_hospital,infra_id,type_infra,longueur,man_hours,time_total_h,material_cost,labor_cost,cost_total,plan_order,phase,cost_cum,time_cum_h,pct_cum_all
E000178,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,317,1.0,1143999.824421469,1108.2630567318786,0.2877768699212733
E000178,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,317,1.0,1146782.864747534,1110.6830917980221,0.28847695275066076
E000266,0,P007692,a_remplacer,9.64962873769354,38.59851495077416,9.64962873769354,7237.221553270155,1447.444310654031,8684.665863924185,318,1.0,1155467.5306114582,1120.3327205357157,0.29066160864420176
E000266,0,P006709,a_remplacer,13.4212136147779,26.8424272295558,6.71060680738895,6710.60680738895,1006.5910211083425,7717.197828497293,318,1.0,1163184.7284399555,1127.0433273431047,0.2926028948124678
E000266,0,P008025,a_remplacer,10.7673305164675,21.534661032935,5.38366525823375,5383.665258233749,807.5497887350624,6191.215046968811,318,1.0,1169375.9434869243,1132.4269926013385,0.2941603150578137
E000127,0,P005117,a_remplacer,13.2627025810985,26.525405162197,6.63135129054925,6631.35129054925,994.7026935823875,7626.053984131638,319,1.0,1177001.997471056,1139.0583438918877,0.29607867369612373
E000127,0,P007790,a_remplacer,5.85611808756648,29.280590437832398,7.3201476094580995,5270.506278809832,1098.022141418715,6368.5284202285475,319,1.0,1183370.5258912845,1146.3784915013457,0.29768069769617533
E000127,0,P000873,a_remplacer,5.46510947034025,10.9302189406805,2.732554735170125,2732.5547351701252,409.88321027551876,3142.437945445644,319,1.0,1186512.96383673,1149.111046236516,0.29847118816353135
E000222,0,P005820,a_remplacer,14.5718479009645,29.143695801929,7.28592395048225,7285.92395048225,1092.8885925723375,8378.812543054588,320,1.0,1194891.7763797846,1156.3969701869983,0.3005789056612301
E000222,0,P007627,a_remplacer,8.53830202306228,34.15320809224912,8.53830202306228,6403.726517296711,1280.745303459342,7684.471820756053,320,1.0,1202576.2482005407,1164.9352722100605,0.3025119594960012
E000369,0,P008033,a_remplacer,30.5368269197176,152.684134598588,38.171033649647,27483.14422774584,5725.6550474470505,33208.79927519289,321,1.0,1235785.0474757336,1203.1063058597074,0.3108657407687315
E000369,0,P007507,a_remplacer,8.2451799365212,41.225899682606,10.3064749206515,7420.66194286908,1545.9712380977248,8966.633180966805,321,1.0,1244751.6806567004,1213.4127807803588,0.3131213264563043
E000369,0,P004271,a_remplacer,6.61138266761108,33.0569133380554,8.26422833451385,5950.244400849972,1239.6342501770775,7189.87865102705,321,1.0,1251941.5593077275,1221.6770091148726,0.31492996377349336
E000369,0,P006950,a_remplacer,4.98657320364,24.9328660182,6.23321650455,4487.9158832759995,934.9824756825,5422.8983589585,321,1.0,1257364.457666686,1227.9102256194226,0.31629411146156794
