id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons,hours_per_m,cost_per_m,man_hours,time_total_h,material_cost,labor_cost,cost_total,a_reparer,is_hospital
E000128,1,P007679,a_remplacer,4.5706986139249,semi-aerien,6,habitation,a_remplacer,1,4,750,18.2827944556996,4.5706986139249,3428.023960443675,685.604792088735,4113.6287525324105,1,0
E000129,1,P005317,a_remplacer,11.95171127553,aerien,5,habitation,a_remplacer,1,2,500,23.90342255106,5.975855637765,5975.855637765,896.37834566475,6872.23398342975,1,0
E000129,1,P007999,a_remplacer,42.1144223056854,aerien,5,habitation,a_remplacer,1,2,500,84.2288446113708,21.0572111528427,21057.2111528427,3158.581672926405,24215.792825769106,1,0
E000129,1,P007485,a_remplacer,5.64944506755882,semi-aerien,5,habitation,a_remplacer,1,4,750,22.59778027023528,5.64944506755882,4237.083800669115,847.416760133823,5084.500560802938,1,0
E000144,1,P005117,a_remplacer,13.2627025810985,aerien,6,habitation,a_remplacer,1,2,500,26.525405162197,6.63135129054925,6631.35129054925,994.7026935823875,7626.053984131638,1,0
E000144,1,P008002,a_remplacer,12.5346743139761,fourreau,6,habitation,a_remplacer,1,5,900,62.673371569880494,15.668342892470124,11281.20688257849,2350.2514338705187,13631.458316449009,1,0
E000144,1,P008006,a_remplacer,17.9528543234573,aerien,6,habitation,a_remplacer,1,2,500,35.9057086469146,8.97642716172865,8976.427161728649,1346.4640742592974,10322.891235987947,1,0
E000144,1,P007737,a_remplacer,4.66009795790718,fourreau,6,habitation,a_remplacer,1,5,900,23.3004897895359,5.825122447383975,4194.088162116462,873.7683671075962,5067.856529224058,1,0
E000145,1,P005117,a_remplacer,13.2627025810985,aerien,3,habitation,a_remplacer,1,2,500,26.525405162197,6.63135129054925,6631.35129054925,994.7026935823875,7626.053984131638,1,0
E000145,1,P008002,a_remplacer,12.5346743139761,fourreau,3,habitation,a_remplacer,1,5,900,62.673371569880494,15.668342892470124,11281.20688257849,2350.2514338705187,13631.458316449009,1,0
E000145,1,P008007,a_remplacer,6.84639309859005,aerien,3,habitation,a_remplacer,1,2,500,13.6927861971801,3.423196549295025,3423.196549295025,513.4794823942538,3936.6760316892787,1,0
E000145,1,P007638,a_remplacer,5.10207355361142,fourreau,3,habitation,a_remplacer,1,5,900,25.510367768057097,6.377591942014274,4591.866198250278,956.6387913021412,5548.504989552419,1,0
E000146,1,P005100,a_remplacer,6.25975675306654,aerien,2,habitation,a_remplacer,1,2,500,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,1,0
E000146,1,P000732,a_remplacer,10.7871386086093,aerien,2,habitation,a_remplacer,1,2,500,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,1,0
E000146,1,P008001,a_remplacer,9.80181343246892,aerien,2,habitation,a_remplacer,1,2,500,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,1,0
E000146,1,P000719,a_remplacer,10.698159350814,aerien,2,habitation,a_remplacer,1,2,500,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,1,0
E000146,1,P000719,a_remplacer,10.698159350814,aerien,2,habitation,a_remplacer,1,2,500,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,1,0
E000146,1,P000644,a_remplacer,5.79686473036686,aerien,2,habitation,a_remplacer,1,2,500,11.59372946073372,2.89843236518343,2898.4323651834297,434.7648547775145,3333.197219960944,1,0
E000146,1,P007802,a_remplacer,4.65316558492902,semi-aerien,2,habitation,a_remplacer,1,4,750,18.61266233971608,4.65316558492902,3489.874188696765,697.974837739353,4187.849026436118,1,0
E000160,1,P005100,a_remplacer,6.25975675306654,aerien,8,habitation,a_remplacer,1,2,500,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,1,0
E000160,1,P000732,a_remplacer,10.7871386086093,aerien,8,habitation,a_remplacer,1,2,500,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,1,0
E000160,1,P008001,a_remplacer,9.80181343246892,aerien,8,habitation,a_remplacer,1,2,500,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,1,0
E000160,1,P000719,a_remplacer,10.698159350814,aerien,8,habitation,a_remplacer,1,2,500,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,1,0
E000160,1,P008005,a_remplacer,8.40245186934037,aerien,8,habitation,a_remplacer,1,2,500,16.80490373868074,4.201225934670185,4201.225934670185,630.1838902005277,4831.409824870712,1,0
E000160,1,P000723,a_remplacer,13.1599422339419,aerien,8,habitation,a_remplacer,1,2,500,26.3198844678838,6.57997111697095,6579.97111697095,986.9956675456425,7566.966784516592,1,0
E000160,1,P000600,a_remplacer,9.68226549663264,aerien,8,habitation,a_remplacer,1,2,500,19.36453099326528,4.84113274831632,4841.13274831632,726.169912247448,5567.302660563769,1,0
E000160,1,P007641,a_remplacer,6.69156313094176,aerien,8,habitation,a_remplacer,1,2,500,13.38312626188352,3.34578156547088,3345.78156547088,501.867234820632,3847.648800291512,1,0
E000161,1,P005100,a_remplacer,6.25975675306654,aerien,2,habitation,a_remplacer,1,2,500,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,1,0
